ticker,type,ticker_api,name,id,sid
AXISTECETF,etf,AXISTECETF,Axis NIFTY IT ETF,AXIST,AXIST
INTERNET,etf,INTERNET,Mirae Asset Nifty India Internet ETF,INTEN,INTEN
TECH,etf,TECH,Aditya BSL Nifty IT ETF,TECT,TECT
ITBETA,etf,ITBETA,UTI Nifty IT ETF,NIFI,NIFI
METALIETF,,,,,
METAL,,,,,
GROWWMETAL,,,,,
PHARMABEES,etf,PHARMABEES,Nippon India Nifty Pharma ETF,NETFP,NETFP
CHEMICAL,etf,CHEMICAL,Kotak Nifty Chemicals ETF,CHEMA,CHEMA
GROWWCHEM,etf,GROWWCHEM,Groww Nifty Chemicals ETF,GROWH,GROWH
PSUBANK,etf,PSUBANK,Kotak Nifty PSU Bank ETF,KTPU,KTPU
PSUBNKBEES,etf,PSUBNKBEES,Nippon India ETF Nifty PSU Bank BeES,PSUB,PSUB
PSUBNKIETF,etf,PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF,PSU,PSU
SBIBPB,etf,SBIBPB,SBI BSE PSU BANK ETF,SBIB,SBIB
PSUBANKADD,etf,PSUBANKADD,DSP Nifty PSU Bank ETF,DSPP,DSPP
HDFCPSUBK,etf,HDFCPSUBK,HDFC NIFTY PSU BANK ETF,HDFCK,HDFCK
BANKPSU,etf,BANKPSU,Mirae Asset Nifty PSU Bank ETF,BANKP,BANKP
GROWWRAIL,etf,GROWWRAIL,Groww Nifty India Railways PSU ETF,GROWR,GROWR
MOREALTY,etf,MOREALTY,Motilal Oswal Nifty Realty ETF,MORE,MORE
GROWWRLTY,etf,GROWWRLTY,Groww Nifty Realty ETF,GROWT,GROWT
ICICIB22,etf,ICICIB22,Bharat 22 ETF,ICPR,ICPR
CONS,etf,CONS,Kotak Nifty India Consumption ETF,KOTAC,KOTAC
CONSUMBEES,etf,CONSUMBEES,Nippon India ETF Nifty India Consumption,NCON,NCON
MOTOUR,etf,MOTOUR,Motilal Oswal Nifty India Tourism ETF,MOTO,MOTO
CONSUMIETF,etf,CONSUMIETF,ICICI Prudential Nifty India Consumption ETF,ICICC,ICICC
SBIETFCON,etf,SBIETFCON,SBI Nifty Consumption ETF,SBIEF,SBIEF
CONSUMER,etf,CONSUMER,Mirae Asset Nifty India New Age Consumption ETF,CONSU,CONSU
AXISCETF,etf,AXISCETF,Axis NIFTY India Consumption ETF,AXISC,AXISC
MOSERVICE,etf,MOSERVICE,Motilal Oswal Nifty Services Sector ETF,MOSE,MOSE
MODEFENCE,etf,MODEFENCE,Motilal Oswal Nifty India Defence ETF,MODEF,MODEF
DEFENCE,etf,DEFENCE,Mirae Asset BSE India Defence ETF,DEFE,DEFE
GROWWDEFNC,etf,GROWWDEFNC,Groww Nifty India Defence ETF,GROWD,GROWD
SBINEQWETF,etf,SBINEQWETF,SBI Nifty50 Equal Weight ETF,SBINE,SBINE
TOP10ADD,etf,TOP10ADD,DSP Nifty Top 10 Equal Weight ETF,TOPA,TOPA
EQUAL50ADD,etf,EQUAL50ADD,DSP Nifty 50 Equal Weight ETF,DSP,DSP
SHARIABEES,etf,SHARIABEES,Nippon India ETF Nifty 50 Shariah BeES,SBET,SBET
NIFTY100EW,etf,NIFTY100EW,Kotak Nifty 100 Equal Weight ETF,NIFTY,NIFTY
TOP15IETF,etf,TOP15IETF,ICICI Prudential Nifty Top 15 Equal Weight ETF,TOPI,TOPI
TOP20,etf,TOP20,Mirae Asset Nifty Top 20 Equal Weight ETF,TOO,TOO
EQUAL50,etf,EQUAL50,Mirae Asset Nifty50 Equal Weight ETF,EQUAL,EQUAL
EQUAL200,etf,EQUAL200,Mirae Asset BSE 200 Equal Weight ETF,EQUA,EQUA
MON50EQUAL,etf,MON50EQUAL,MOTILAL OSWAL NIFTY 50 EQUAL WEIGHT ETF,MONE,MONE
ESG,etf,ESG,Mirae Asset Nifty 100 ESG Sector Leaders ETF,MAE,MAE
EVINDIA,etf,EVINDIA,Mirae Asset Nifty EV and New Age Automotive ETF,EVI,EVI
GROWWEV,etf,GROWWEV,Groww Nifty EV & New Age Automotive ETF,GROW,GROW
EVIETF,etf,EVIETF,ICICI Prudential Nifty EV & New Age Automotive ETF,EVIE,EVIE
INFRAIETF,etf,INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,ICICN,ICICN
INFRABEES,etf,INFRABEES,Nippon India ETF Nifty Infrastructure BeES,IFRB,IFRB
MANUFGBEES,etf,MANUFGBEES,Nippon India Nifty India Manufacturing ETF,MANU,MANU
INFRA,etf,INFRA,Mirae Asset Nifty India Infrastr. & Logistics ETF,INFRN,INFRN
MOINFRA,etf,MOINFRA,Motilal Oswal BSE India Infrastructure ETF,MOI,MOI
MNC,etf,MNC,Kotak Nifty MNC ETF,KOTAN,KOTAN
MOMNC,etf,MOMNC,Motilal Oswal Nifty MNC ETF,MOMN,MOMN
MOMENTUM30,etf,MOMENTUM30,Kotak Nifty 200 Momentum 30 ETF,MOMET,MOMET
ALPHA,etf,ALPHA,Kotak Nifty Alpha 50 ETF,KOTAK,KOTAK
ALPL30IETF,etf,ALPL30IETF,ICICI Pru Nifty Alpha Low- Volatility 30 ETF,ICIH,ICIH
MOM30IETF,etf,MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,ICICM,ICICM
MOMENTUM50,etf,MOMENTUM50,Motilal Oswal Nifty 500 Momentum 50 ETF,MOMEN,MOMEN
ALPHAETF,etf,ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,ALPHE,ALPHE
MIDSMALL,etf,MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Q100 ETF,MIDS,MIDS
HDFCMOMENT,etf,HDFCMOMENT,HDFC Nifty200 Momentum 30 ETF,HDFCM,HDFCM
MOMOMENTUM,etf,MOMOMENTUM,Motilal Oswal Nifty 200 Momentum 30 ETF,MOMO,MOMO
MOMIDMTM,etf,MOMIDMTM,Motilal Oswal Nifty Midcap150 Momentum 50 ETF,MOMI,MOMI
MOMENTUM,etf,MOMENTUM,ADITYA BSL Nifty 200 Momentum 30 ETF,MOME,MOME
EMULTIMQ,etf,EMULTIMQ,Edelweiss Nifty500 Multicap Momentum Quality50 ETF,EMUL,EMUL
GROWWMOM50,etf,GROWWMOM50,Groww Nifty 500 Momentum 50 ETF,GROWM,GROWM
MOM50,etf,MOM50,Motilal Oswal Nifty 50 ETF,M50,M50
AONETMMQ50,etf,AONETMMQ50,Angel One Nifty Total Market Momentum Qlty 50 ETF,AONET,AONET
SELECTIPO,etf,SELECTIPO,Mirae Asset BSE Select IPO ETF,SELE,SELE
MOALPHA50,etf,MOALPHA50,Motilal Oswal Nifty Alpha 50 ETF,MOA,MOA
MOMGF,etf,MOMGF,Motilal Oswal Nifty India Manufacturing ETF,MOMG,MOMG
MOIPO,etf,MOIPO,MOTILAL OSWAL BSE SELECT IPO ETF,MOIP,MOIP
CPSEETF,etf,CPSEETF,CPSE ETF,GOMS,GOMS
MAKEINDIA,etf,MAKEINDIA,Mirae Asset Nifty India Manufacturing ETF,MAMF,MAMF
ABSLPSE,etf,ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF,ABSLP,ABSLP
GROWWPSE,etf,GROWWPSE,Groww Nifty PSE ETF,GROPW,GROPW
MOPSE,etf,MOPSE,Motilal Oswal Nifty Pse ETF,MOP,MOP
NV20BEES,etf,NV20BEES,Nippon India ETF Nifty 50 Value 20,NNET,NNET
MOVALUE,etf,MOVALUE,Motilal Oswal BSE Enhanced Value ETF,MOV,MOV
VAL30IETF,etf,VAL30IETF,ICICI Prudential Nifty200 Value 30 ETF,VALIE,VALIE
